Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
000004420.1078125	AGP Mercola Food, Reg H2O Alfalfa	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S168.141217	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V59, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
HR1.733845	Deercreek, Douglas-fir, rep 1, soil	QDB_1038	ENVO:00001998	soil	0.182069474025	0	0.000604878446618	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
000004445.1078196	AGP Mercola Food, Kiwi	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
F10.141305	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V160, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M11.533989	Intertidal microbes 16s for 2009 and 2021, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
Bbo4.285946	Delivery mode effects on newborn microbiota, human oral	QDB_0395	ID:0000020	mouth	0.125211734282	3	0.0342097930214	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
S11.141249	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V12, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
F12Indl.140710	Bacterial Community Variation in Human Body Habitats Across Space and Time, left index finger	QDB_0449	ENVO:00002036	habitat	0.115332359383	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
SPM6cx040108.142593	The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice., Cecum	QDB_0457	ID:0000058	skin	0.123984060898	3	0.0342097930214	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
PO6.1.T0.830833	Ercolini whole grain feces, Fecal sample taken from individual PO6.1	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
LQ1.141701	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562556961	5	0.2001811416	ENVO:00001998	ENVO:00001998	soil	ENVO:00002993	Tropical humid forests	ENVO:00005778	tropical soil
SpgbkW.284399	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, springbok gut	QDB_0626	ID:0000000	animal microbiome	0.116408962801	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S164.141301	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V55, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S21.141162	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V81, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
F33Nost.140487	Bacterial Community Variation in Human Body Habitats Across Space and Time, nostrils	QDB_0449	ENVO:00002036	habitat	0.134474881319	4	0.0908687678472	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
S148.141242	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V42, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S186.141207	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V74, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Preantibiotic.5.63.984470	Preantibiotic Sample, Treatment 5, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
sterileswab9.22.481428	Lung HIV Microbiome Project, freshwater	QDB_1020	ID:0000000	animal microbiome	0.203968921366	3	0.0342097930214	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:00010504	surface
SBYZ.484221	microbial mat metagenome, microbial mat	QDB_1199	ENVO:01000008	microbial mat	0.637093011382	0	0.000604878446618	ENVO:01000008	ENVO:01000008	microbial mat
cecum.T0.U2.1085334	Mouse Decomp Forensics 2011, mouse gut	QDB_1996	ID:0000002	gut	0.231774336681	2	0.0118310790194	ENVO:00009002	ENVO:00000446	terrestrial biome	ENVO:00009002	mammalia-associated habitat	ENVO:02000019	bodily fluid
S190000CE.281557	Burmese python gut microbiome, burmese python gut	QDB_0391	ID:0000000	animal microbiome	0.247677700176	1	0.00206932100159	ENVO:00006776	ENVO:00006776	animal-associated habitat	ENVO:02000019	bodily fluid
NICU.48.1129827	Surface Microbes in the Neonatal Intensive Care Unit: Changes with Routine Cleaning and Over Time, indoor	QDB_1798	ENVO:00010504	surface	0.08574782818	0	0.000604878446618	ENVO:00010504	ENVO:00000446	terrestrial biome	ENVO:00010504	surface	ENVO:00002008	dust
M46.141278	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V175, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Echidna.284410	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, short-beaked echidna gut	QDB_0626	ID:0000000	animal microbiome	0.104270895953	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
M9Rinr217.141080	Forensic identification using skin bacterial communities, fierer forensic keyboard	QDB_0232	ID:0000041	skin	0.12745305127	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
MIR11.660750	Kelley nicu contamination, Swab was taken from NICU incubator drawer handle beneath incubator MB	QDB_0386	ID:0000020	mouth	0.113602133205	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
S28.141283	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V87, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
3340.385115	Seasonal affects on hibernating ground squirrel cecal microbiota, thirteen lined ground squirrel gut	QDB_0926	ID:0000005	cecum	0.118883204537	2	0.0118310790194	ENVO:00006776	ENVO:01000155	organic material	ENVO:00006776	animal-associated habitat
SP3.733831	Horse Ridge, western juniper, rep 3, soil	QDB_1038	ENVO:00000170	dune	0.162567499332	2	0.0118310790194	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
BlackBr2.284415	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, north american black bear gut	QDB_0626	ID:0000000	animal microbiome	0.100960191515	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S59.141263	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V115, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
NA.14.T0.830874	Ercolini whole grain feces, Fecal sample taken from individual NA.14	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
000004512.1078115	AGP Mercola Food, Vortex H2O Radish	QDB_2013	ENVO:00002002	food product	0.120784418514	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
ProC1.658352	to study bacterial communities on fresh produce, sample from Apple	QDB_1671	ENVO:00003879	apple juice	0.146708734679	11	0.958029090683	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
SPM8x040108.142534	The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice., Feces	QDB_0457	ID:0000058	skin	0.123984060898	3	0.0342097930214	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
F46.141165	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V179, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S138.141208	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V36, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Agricultural.soil.soy.686752	Canadian MetaMicroBiome Initiative, soil	QDB_0632	ENVO:00001998	soil	0.214151133246	0	0.000604878446618	ENVO:00001998	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil	ENVO:00000077	agricultural feature
Plaque252.280167	Human oral, gut, and plaque microbiota in patients with atherosclerosis, human plaque	QDB_0349	ID:0000002	gut	0.143075950809	3	0.0342097930214	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:02000019	bodily fluid
MDB6.660747	Kelley nicu contamination, Swab was taken from NICU door button surface1 MB	QDB_0386	ID:0000020	mouth	0.122503595655	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
F14.141326	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V162, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S87.141310	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V140, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
NR116A.994634	The Human Nasal Microbiota and Staphylococcus aureus Carriage, human skin	QDB_1967	ID:0000058	skin	0.210082910609	1	0.00206932100159	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PO2.3.T0.830850	Ercolini whole grain feces, Fecal sample taken from individual PO2.3	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
PO1.11.T8.830886	Ercolini whole grain feces, Fecal sample taken from individual PO1.11	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
UT15.52a.663894	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, soil	QDB_1684	ENVO:01000007	microbial feature	0.118326818955	5	0.2001811416	ENVO:00000106	ENVO:00000106	grassland	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil
L.Jacarepia.HB.488602	Rio de aneiro Coastline, freshwater	QDB_1039	ENVO:00000303	coast	0.215011872251	4	0.0908687678472	ENVO:00000021	ENVO:00000021	freshwater lake	ENVO:00000892	Small lake biome	ENVO:00002007	sediment
SE.20100928.GY.NF008.BC.093.a.673660	Jansson Gulf Oil Spill Sediments, marine sediment	QDB_1197	ENVO:00002113	marine sediment	0.488528467338	0	0.000604878446618	ENVO:00002113	ENVO:00000447	marine biome	ENVO:00000426	ocean floor	ENVO:00002113	marine sediment
AK.19.23a.281859	16S soil survey, spatial and temporal variation across four ecosystems, soil	QDB_0619	ENVO:00000428	biome	0.217766962364	3	0.0342097930214	ENVO:00000109	ENVO:00001998	soil	ENVO:00000109	woodland
Capybara.284417	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, capybara gut	QDB_0626	ID:0000000	animal microbiome	0.116408962801	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
PLRP18.10.589048	Pavilion Lake Research Project, 10	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
KH9.488318	Temple TX native exotic precip study, soil	QDB_1289	ENVO:00001998	soil	0.122052336348	0	0.000604878446618	ENVO:00001998	ENVO:00000106	grassland	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil
S133.141205	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V32, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
SKM3.640197	Cannabis Soil Microbiome, soil	QDB_1001	ID:0000000	animal microbiome	0.305358616082	3	0.0342097930214	ENVO:00009001	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil	ENVO:00009001	plant-associated habitat
Squirrel.284401	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, prevost's squirrel gut	QDB_0626	ID:0000000	animal microbiome	0.105309398555	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
MF2.1.733837	Santiam Pass, mountain hemlock, rep 2, soil	QDB_1038	ENVO:00000084	mountain pass	0.252886089161	7	0.549325136652	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
TS19x3.142623	The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice., Human	QDB_0458	ID:0000058	skin	0.139646986474	5	0.2001811416	ENVO:00002003	ENVO:00002003	feces
HI.20.58e.2.281749	16S soil survey, spatial and temporal variation across four ecosystems, soil	QDB_0619	ENVO:00000428	biome	0.217766962364	3	0.0342097930214	ENVO:00000879	ENVO:00001998	soil	ENVO:00000879	Tropical and subtropical moist broadleaf forest biome
Preantibiotic.3.61.984460	Preantibiotic Sample, Treatment 3, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
NA.07.T8.830880	Ercolini whole grain feces, Fecal sample taken from individual NA.07	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
MF1.733849	Santiam Pass, mountain hemlock, rep 1, soil	QDB_1038	ENVO:00000084	mountain pass	0.252886089161	7	0.549325136652	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
59.HA.Forehead.663899	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, human skin	QDB_1684	ID:0000058	skin	0.154038055415	1	0.00206932100159	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Antibioticday1.1.69.984464	Antibioticday1 Sample, Treatment 1, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
000004447.1078193	AGP Mercola Food, Apple	QDB_2013	ENVO:00003879	apple juice	0.185604587483	8	0.708292629533	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
A23.2.sed.D1.660392	Saline environments that may harbor novel lignocellulolytic activities tolerant of ionic liquids, sediment	QDB_1580	ID:0000078	estuary sediment	0.22567645147	3	0.0342097930214	ENVO:00002209	ENVO:00000892	Small lake biome	ENVO:00002024	haline habitat	ENVO:00002209	saline lake sediment
ESC.1.17.OPL.279551	Disordered Microbial Communities in the Upper Respiratory Tract of Cigarette Smokers, human oral	QDB_0524	ENVO:00000218	black smoker	0.120198175544	8	0.708292629533	ENVO:02000036	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
S56.141230	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V113, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
GN06P.484247	Phylogenetic stratigraphy in the Guerrero Negro hypersaline microbial mat, microbial mat	QDB_1200	ID:0000141	hypersaline microbial mat	0.43329296443	1	0.00206932100159	ENVO:01000008	ENVO:01000008	microbial mat
CO3.141651	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562556961	5	0.2001811416	ENVO:00001998	ENVO:00000106	grassland	ENVO:00005750	grassland soil	ENVO:00001998	soil
CH3.733834	Cascade Head, old growth western hemlock, rep 3, soil	QDB_1038	ENVO:00000040	waterfall	0.16162973285	5	0.2001811416	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
M33.533976	Intertidal microbes 16s for 2009 and 2043, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	5	0.2001811416	ENVO:01000155	ENVO:01000155	organic material	ENVO:00002032	organism-associated habitat
S167.141187	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V58, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M32Plmr.140307	Bacterial Community Variation in Human Body Habitats Across Space and Time, right palm	QDB_0449	ENVO:00002036	habitat	0.137879024794	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S110.141317	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V13, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S44.141194	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V103, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
DC3.733842	McDonald Forest, Douglas-fir, rep 3, soil	QDB_1038	ENVO:00002261	forest soil	0.306426593914	0	0.000604878446618	ENVO:00002261	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
S130.141293	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V29, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Plaque243.280196	Human oral, gut, and plaque microbiota in patients with atherosclerosis, human plaque	QDB_0349	ID:0000002	gut	0.143075950809	3	0.0342097930214	ENVO:00009003	ENVO:01000155	organic material	ENVO:00009003	human-associated habitat
S3.141318	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V89, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S160.141312	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V51, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M27.533971	Intertidal microbes 16s for 2009 and 2037, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
56.CA.Mouth.663897	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, organismal	QDB_1684	ENVO:01000007	microbial feature	0.114138584463	4	0.0908687678472	ENVO:00006776	ENVO:02000036	saliva	ENVO:00006776	animal-associated habitat
000004453.1078139	AGP Mercola Food, FVK2 DOC D8	QDB_2013	ENVO:00002002	food product	0.121160754113	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004495.1078162	AGP Mercola Food, Broccoli	QDB_2013	ENVO:00002002	food product	0.144729982694	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
BLANK.41.712305.739590	Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, unclassified	QDB_1098	ENVO:00005805	nest of bird	0.194277925973	6	0.365683897177	ENVO:00002006	ENVO:00002030	aquatic biome	ENVO:00005791	sterile water	ENVO:00002006	water
000004443.1078166	AGP Mercola Food, Sweet Potato	QDB_2013	ENVO:0010060	potato product	0.15954525546	7	0.549325136652	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
M3.533973	Intertidal microbes 16s for 2009 and 2012, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
nest.SK.2010.253.712138.739375	Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, organismal	QDB_1098	ENVO:00005805	nest of bird	0.1955892606	0	0.000604878446618	ENVO:00005805	ENVO:00005805	nest of bird	ENVO:02000004	nesting material
Antarctic.soil.10B.590950	Brazilian Antarctic cleanup 16S, soil	QDB_1033	ENVO:00001998	soil	0.189516994068	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:02000059	surface soil	ENVO:00000894	Polar biome
000004490.1078142	AGP Mercola Food, Reg H2O Broccoli	QDB_2013	ENVO:00002002	food product	0.116295958793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
PO4.6.T8.830855	Ercolini whole grain feces, Fecal sample taken from individual PO4.6	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
PO4.4.T0.830828	Ercolini whole grain feces, Fecal sample taken from individual PO4.4	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S107.141220	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V9, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PTBM7.489547	Microbial biogeography of public restroom surfaces, restroom surface	QDB_1335	ENVO:00010504	surface	0.286816606151	0	0.000604878446618	ENVO:00010504	ENVO:00000856	city	ENVO:00000073	building	ENVO:00010504	surface
43.139743	Plot-scale manipulations of organic matter inputs to soils correlate with shifts in microbial community composition in a lowland tropical rainforest, soil	QDB_0397	ENVO:00005778	tropical soil	0.198032290316	1	0.00206932100159	ENVO:00001998	ENVO:00001998	soil	ENVO:00002993	Tropical humid forests	ENVO:00000291	drainage basin
M32.141256	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V157, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S151.141178	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V43, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
SG.C.3.389047	Resistant Starches Types 2 and 4 Have Differential Effects on the Composition of the Fecal Microbiota in Human Subjects, human gut	QDB_0495	ENVO:00002003	feces	0.117881953491	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
fecal.T0.U3.536284	Mouse Decomp Forensics 2011, microbial 16S timeseries of corpse decomposition on sterile and untreated soil	QDB_0714	ENVO:01000007	microbial feature	0.104651642968	4	0.0908687678472	ENVO:00009002	ENVO:00000446	terrestrial biome	ENVO:00002003	feces	ENVO:00009002	mammalia-associated habitat
000004467.1078104	AGP Mercola Food, VegSprD3	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S33.141188	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V93, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
BBB.number2.filt..660387	Saline environments that may harbor novel lignocellulolytic activities tolerant of ionic liquids, marine	QDB_1580	ENVO:00000463	harbor	0.106982234131	4	0.0908687678472	ENVO:00002151	ENVO:00002151	ocean water	ENVO:01000021	mangrove biome	ENVO:00000569	marine habitat
000004500.1078177	AGP Mercola Food, Pre-Vortex Water	QDB_2013	ENVO:00002006	water	0.128377827666	2	0.0118310790194	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
Feces659.280132	Human oral, gut, and plaque microbiota in patients with atherosclerosis, human gut	QDB_0349	ID:0000002	gut	0.143075950809	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
C2.533995	Intertidal microbes 16s for 2009 and 2056, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
ProC41.658247	to study bacterial communities on fresh produce, sample from Tomato	QDB_1671	ENVO:0010076	tomato product	0.162231391211	10	0.906880197224	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
MR2.733838	Metolius River, ponderosa pine, rep 2, soil	QDB_1038	ENVO:00000109	woodland	0.133332252779	2	0.0118310790194	ENVO:00002992	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
F22Aptr.140609	Bacterial Community Variation in Human Body Habitats Across Space and Time, right armpit	QDB_0449	ENVO:00002036	habitat	0.134017119305	4	0.0908687678472	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:02000025	sweat
000004421.1078197	AGP Mercola Food, Ginger	QDB_2013	ENVO:00002002	food product	0.14642287652	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
soil1.0.1g.T7U5.536354	Mouse Decomp Forensics 2011, microbial 16S timeseries of corpse decomposition on sterile and untreated soil	QDB_0714	ENVO:01000007	microbial feature	0.104651642968	5	0.2001811416	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00001998	soil
